Node_index  Parent_index  cost
0             0              0
1             0              0
2             0              0
3             1              0
4             1              0
5             2              0
6             2              0
7             3              0
8             4              0
9             4              0
10             4              0
11             5              0
12             5              0
13             5              0
14             6              0
15             7              0
16             7              0
17             8              0
18             8              0
19             9              0
20             9              0
21             10              0
22             10              0
23             11              0
24             11              0
25             12              0
26             12              0
27             13              0
28             13              0
29             14              0
30             14              0
31             15              0
32             15              0
33             15              0
34             16              0
35             17              0
36             18              0
37             19              0
38             20              0
39             21              0
40             22              0
41             23              0
42             24              0
43             25              0
44             26              0
45             27              0
46             28              0
47             29              0
48             29              0
49             29              0
50             30              0
51             31              0
52             31              0
53             32              0
54             32              0
55             33              0
56             33              0
57             34              0
58             34              0
59             35              0
60             35              0
61             36              0
62             36              0
63             37              0
64             37              0
65             38              0
66             38              0
67             39              0
68             39              0
69             40              0
70             40              0
71             41              0
72             42              0
73             42              0
74             43              0
75             43              0
76             44              0
77             44              0
78             45              0
79             45              0
80             46              0
81             46              0
82             47              0
83             47              0
84             48              0
85             48              0
86             49              0
87             49              0
88             50              0
89             50              0
90             51              0
91             52              0
92             53              0
93             54              0
94             55              0
95             56              0
96             57              0
97             58              0
98             58              0
99             58              0
100             59              0
101             60              0
102             60              0
103             61              0
104             61              0
105             61              0
106             62              0
107             63              0
108             64              0
109             64              0
110             65              0
111             66              0
112             66              0
113             66              0
114             67              0
115             68              0
116             68              0
117             68              0
118             69              0
119             69              0
120             69              0
121             70              0
122             71              0
123             72              0
124             72              0
125             72              0
126             73              0
127             74              0
128             75              0
129             75              0
130             75              0
131             76              0
132             77              0
133             77              0
134             77              0
135             78              0
136             79              0
137             79              0
138             79              0
139             80              0
140             80              0
141             80              0
142             81              0
143             82              0
144             84              0
145             85              0
146             86              0
147             87              0
148             88              0
149             88              0
150             88              0
151             89              0
152             90              0
153             90              0
154             91              0
155             91              0
156             92              0
157             92              0
158             93              0
159             94              0
160             94              0
161             95              0
162             95              0
163             96              0
164             96              0
165             97              0
166             97              0
167             98              0
168             98              0
169             99              0
170             99              0
171             100              0
172             100              0
173             101              0
174             101              0
175             102              0
176             102              0
177             103              0
178             103              0
179             104              0
180             104              0
181             105              0
182             105              0
183             106              0
184             106              0
185             107              0
186             107              0
187             108              0
188             108              0
189             109              0
190             109              0
191             110              0
192             110              0
193             111              0
194             111              0
195             112              0
196             112              0
197             113              0
198             113              0
199             114              0
200             114              0
201             115              0
202             115              0
203             116              0
204             116              0
205             117              0
206             118              0
207             118              0
208             119              0
209             119              0
210             120              0
211             121              0
212             121              0
213             122              0
214             122              0
215             123              0
216             123              0
217             124              0
218             124              0
219             125              0
220             125              0
221             126              0
222             126              0
223             127              0
224             127              0
225             128              0
226             128              0
227             129              0
228             130              0
229             130              0
230             131              0
231             131              0
232             132              0
233             133              0
234             133              0
235             134              0
236             134              0
237             135              0
238             135              0
239             136              0
240             136              0
241             137              0
242             137              0
243             138              0
244             139              0
245             140              0
246             140              0
247             141              0
248             142              0
249             142              0
250             143              0
251             143              0
252             144              0
253             144              0
254             145              0
255             145              0
256             146              0
257             146              0
258             147              0
259             147              0
260             148              0
261             148              0
262             149              0
263             149              0
264             150              0
265             150              0
266             151              0
267             151              0
268             152              0
269             153              0
270             153              0
271             153              0
272             154              0
273             154              0
274             154              0
275             155              0
276             156              0
277             156              0
278             156              0
279             157              0
280             158              0
281             159              0
282             160              0
283             160              0
284             160              0
285             161              0
286             161              0
287             161              0
288             162              0
289             163              0
290             164              0
291             164              0
292             164              0
293             165              0
294             166              0
295             167              0
296             168              0
297             169              0
298             171              0
299             171              0
300             171              0
301             172              0
302             173              0
303             174              0
304             175              0
305             176              0
306             177              0
307             179              0
308             181              0
309             182              0
310             183              0
311             183              0
312             183              0
313             184              0
314             185              0
315             185              0
316             185              0
317             186              0
318             187              0
319             188              0
320             189              0
321             190              0
322             191              0
323             192              0
324             192              0
325             192              0
326             193              0
327             194              0
328             196              0
329             197              0
330             199              0
331             200              0
332             200              0
333             200              0
334             201              0
335             203              0
336             204              0
337             205              0
338             206              0
339             207              0
340             209              0
341             210              0
342             211              0
343             212              0
344             212              0
345             212              0
346             213              0
347             213              0
348             213              0
349             214              0
350             215              0
351             216              0
352             217              0
353             219              0
354             220              0
355             221              0
356             222              0
357             222              0
358             222              0
359             223              0
360             223              0
361             223              0
362             224              0
363             225              0
364             226              0
365             227              0
366             228              0
367             229              0
368             230              0
369             231              0
370             231              0
371             231              0
372             232              0
373             233              0
374             234              0
375             235              0
376             237              0
377             238              0
378             238              0
379             238              0
380             239              0
381             240              0
382             241              0
383             242              0
384             243              0
385             244              0
386             245              0
387             246              0
388             247              0
389             248              0
390             249              0
391             249              0
392             249              0
393             250              0
394             251              0
395             251              0
396             251              0
397             252              0
398             252              0
399             252              0
400             253              0
401             254              0
402             254              0
403             255              0
404             256              0
405             257              0
406             257              0
407             258              0
408             259              0
409             259              0
410             259              0
411             260              0
412             261              0
413             262              0
414             263              0
415             264              0
416             266              0
417             267              0
418             267              0
419             267              0
420             268              0
421             268              0
422             269              0
423             269              0
424             270              0
425             270              0
426             271              0
427             271              0
428             272              0
429             272              0
430             273              0
431             273              0
432             274              0
433             275              0
434             275              0
435             276              0
436             277              0
437             277              0
438             278              0
439             278              0
440             279              0
441             279              0
442             280              0
443             280              0
444             281              0
445             281              0
446             282              0
447             282              0
448             283              0
449             284              0
450             285              0
451             285              0
452             286              0
453             286              0
454             287              0
455             288              0
456             288              0
457             289              0
458             289              0
459             290              0
460             290              0
461             291              0
462             291              0
463             292              0
464             292              0
465             293              0
466             293              0
467             294              0
468             294              0
469             295              0
470             295              0
471             296              0
472             296              0
473             297              0
474             297              0
475             298              0
476             298              0
477             299              0
478             299              0
479             300              0
480             300              0
481             301              0
482             301              0
483             302              0
484             302              0
485             303              0
486             303              0
487             304              0
488             304              0
489             305              0
490             305              0
491             306              0
492             306              0
493             307              0
494             307              0
495             308              0
496             308              0
497             309              0
498             309              0
499             310              0
500             310              0
501             311              0
502             311              0
503             312              0
504             312              0
505             313              0
506             313              0
507             314              0
508             314              0
509             315              0
510             315              0
511             316              0
512             316              0
513             317              0
514             317              0
515             318              0
516             318              0
517             319              0
518             320              0
519             320              0
520             321              0
521             321              0
522             322              0
523             322              0
524             323              0
525             323              0
526             324              0
527             324              0
528             325              0
529             325              0
530             326              0
531             327              0
532             327              0
533             328              0
534             328              0
535             329              0
536             329              0
537             330              0
538             330              0
539             331              0
540             331              0
541             332              0
542             332              0
543             333              0
544             333              0
545             334              0
546             334              0
547             335              0
548             336              0
549             336              0
550             337              0
551             337              0
552             338              0
553             339              0
554             339              0
555             340              0
556             340              0
557             341              0
558             341              0
559             342              0
560             342              0
561             343              0
562             343              0
563             344              0
564             344              0
565             345              0
566             345              0
567             346              0
568             346              0
569             347              0
570             347              0
